customer_id,operator,circle,city_tier,age,gender,plan_type,device_type,tenure_months,monthly_recharge_inr,plan_validity_days,days_since_last_recharge,payment_channel,ott_bundle,data_gb_month,voice_minutes_month,sms_per_month,recharge_change_pct,data_change_pct,dual_sim,five_g_area,call_drop_rate_pct,network_complaints_3m,care_calls_3m,churn
IN100000,Vi,Delhi,Tier-2,21,Female,Prepaid,Feature phone,31,166,28,3,Retail shop,0,0.5,294,21,-21.9,-27.0,0,1,4.3,0,1,0
IN100001,Jio,Gujarat,Metro,25,Female,Prepaid,4G smartphone,1,379,28,6,UPI app,1,17.8,532,19,26.8,37.6,0,1,4.3,2,2,0
IN100002,Vi,Karnataka,Tier-2,37,Female,Prepaid,4G smartphone,62,219,28,5,UPI app,0,6.8,542,22,-12.9,-14.0,0,0,0.6,0,0,0
IN100003,Jio,Gujarat,Rural,31,Male,Prepaid,Feature phone,39,152,365,255,Retail shop,0,0.7,101,21,4.4,8.5,1,1,4.2,2,2,0
IN100004,Airtel,Maharashtra,Tier-2,27,Female,Prepaid,4G smartphone,21,140,84,31,UPI app,0,9.5,469,18,-0.3,11.4,0,0,4.9,0,0,0
IN100005,BSNL,Karnataka,Metro,22,Female,Prepaid,4G smartphone,60,546,56,36,Operator app,1,27.2,526,16,2.9,-34.1,0,1,1.6,0,1,0
IN100006,Jio,Uttar Pradesh,Tier-2,21,Female,Prepaid,4G smartphone,60,324,28,31,UPI app,0,11.7,257,18,42.1,-49.3,1,1,4.3,0,0,0
IN100007,Vi,Delhi,Rural,30,Male,Prepaid,4G smartphone,26,120,84,60,Retail shop,0,8.1,217,22,8.7,22.3,1,0,1.8,0,0,0
IN100008,Airtel,Gujarat,Tier-2,52,Male,Prepaid,5G smartphone,27,162,28,4,Operator app,0,16.1,447,19,2.7,25.0,1,1,2.8,1,1,0
IN100009,Jio,Tamil Nadu,Tier-2,37,Male,Prepaid,5G smartphone,112,201,365,316,UPI app,0,14.9,654,26,1.9,54.4,0,1,0.9,0,0,0
IN100010,Jio,Tamil Nadu,Metro,18,Male,Prepaid,5G smartphone,36,357,28,10,Retail shop,0,17.5,561,17,-1.2,1.7,0,1,1.8,1,1,0
IN100011,Vi,Mumbai,Tier-2,39,Female,Prepaid,4G smartphone,19,240,28,13,UPI app,0,12.2,463,18,16.1,-32.3,0,1,6.3,0,1,0
IN100012,Jio,Tamil Nadu,Rural,24,Male,Postpaid,Feature phone,33,319,30,27,UPI app,0,0.8,334,19,-43.0,8.6,1,1,3.1,1,2,0
IN100013,Vi,Tamil Nadu,Rural,31,Female,Postpaid,4G smartphone,9,427,30,2,Auto-debit,1,4.5,358,14,8.0,22.1,0,0,2.9,0,1,0
IN100014,Jio,Karnataka,Tier-2,26,Female,Prepaid,4G smartphone,26,392,56,29,UPI app,0,9.6,344,17,-6.3,42.4,0,1,0.8,0,1,0
IN100015,Airtel,Bihar,Rural,52,Female,Prepaid,5G smartphone,7,236,28,2,UPI app,0,93.5,309,18,17.6,15.9,0,0,4.0,1,0,1
IN100016,Jio,Karnataka,Tier-2,20,Male,Prepaid,4G smartphone,16,133,28,6,Retail shop,0,12.5,254,21,8.2,-21.3,0,0,2.0,0,0,1
IN100017,Airtel,Mumbai,Rural,35,Male,Postpaid,4G smartphone,49,304,30,27,Auto-debit,0,20.8,456,20,-9.9,-30.9,0,0,4.6,0,1,0
IN100018,Vi,Maharashtra,Metro,25,Male,Prepaid,4G smartphone,44,286,56,14,UPI app,1,20.7,146,17,-7.0,-20.4,0,1,2.0,0,1,0
IN100019,Jio,Tamil Nadu,Tier-2,39,Female,Prepaid,4G smartphone,2,264,28,11,UPI app,0,11.2,476,20,3.0,-2.7,0,0,0.8,1,1,0
IN100020,Jio,Uttar Pradesh,Rural,34,Male,Prepaid,4G smartphone,70,303,84,69,UPI app,0,12.6,275,21,-11.2,24.7,0,0,1.2,1,1,0
IN100021,Jio,Gujarat,Rural,44,Male,Prepaid,4G smartphone,95,191,84,26,Operator app,0,26.9,424,15,9.5,-22.5,1,0,1.8,0,0,0
IN100022,BSNL,Delhi,Rural,39,Male,Prepaid,4G smartphone,8,231,28,8,UPI app,0,33.9,238,17,5.7,-36.9,1,0,3.4,1,1,1
IN100023,Vi,Maharashtra,Tier-3,25,Female,Prepaid,4G smartphone,4,100,28,8,UPI app,0,7.3,106,15,10.8,26.9,0,0,1.3,0,0,0
IN100024,Vi,Delhi,Rural,61,Female,Prepaid,5G smartphone,15,167,28,4,Retail shop,0,57.1,569,19,-21.3,-0.8,0,0,2.7,1,1,0
IN100025,Airtel,Delhi,Tier-3,37,Female,Postpaid,4G smartphone,11,632,30,19,Operator app,1,6.3,498,24,16.4,-5.1,0,0,1.4,0,0,0
IN100026,Jio,Delhi,Tier-2,26,Male,Prepaid,4G smartphone,45,488,84,49,Retail shop,0,26.0,301,19,-27.5,-5.1,1,0,1.7,1,2,0
IN100027,Airtel,Mumbai,Tier-2,34,Male,Prepaid,4G smartphone,5,157,28,32,UPI app,0,27.8,660,29,25.0,-4.0,0,1,1.6,0,0,0
IN100028,Airtel,Tamil Nadu,Tier-3,38,Female,Postpaid,4G smartphone,13,466,30,6,Operator app,0,18.8,597,21,-8.1,-3.1,1,0,1.5,0,1,1
IN100029,Jio,Bihar,Tier-3,37,Male,Prepaid,Feature phone,31,116,28,14,UPI app,0,0.5,437,15,16.1,-4.5,1,1,2.9,1,1,0
IN100030,Jio,Bihar,Rural,36,Male,Postpaid,4G smartphone,59,409,30,6,UPI app,0,34.3,133,21,-3.9,14.2,0,1,2.1,1,0,0
IN100031,BSNL,Mumbai,Tier-2,41,Female,Prepaid,4G smartphone,9,362,84,92,UPI app,0,12.7,148,23,10.7,-19.3,0,1,2.4,1,1,0
IN100032,Airtel,Bihar,Metro,40,Female,Prepaid,4G smartphone,11,414,56,25,Retail shop,1,18.6,377,17,13.1,-15.9,0,1,0.9,0,1,0
IN100033,Jio,West Bengal,Tier-2,23,Male,Prepaid,Feature phone,73,247,28,40,UPI app,0,0.4,505,21,-3.5,35.2,0,1,3.5,1,0,0
IN100034,Jio,Maharashtra,Rural,53,Female,Postpaid,5G smartphone,52,401,30,8,Auto-debit,0,65.2,607,24,51.7,-7.6,0,0,2.9,1,2,0
IN100035,Airtel,Gujarat,Metro,51,Male,Prepaid,Feature phone,18,745,56,26,UPI app,0,0.5,389,22,-11.9,5.7,1,1,1.2,1,1,0
IN100036,Airtel,Uttar Pradesh,Rural,40,Male,Prepaid,4G smartphone,17,177,28,8,UPI app,0,22.5,474,18,-5.7,13.7,0,0,3.5,1,1,0
IN100037,Jio,Karnataka,Metro,32,Male,Postpaid,4G smartphone,27,566,30,39,Operator app,1,5.1,530,31,15.4,-7.1,0,1,2.3,0,0,0
IN100038,Airtel,Maharashtra,Tier-2,32,Male,Prepaid,5G smartphone,32,206,84,68,Retail shop,0,25.3,100,13,-16.2,-8.9,1,0,1.2,0,1,0
IN100039,Jio,Gujarat,Rural,28,Male,Prepaid,5G smartphone,3,114,365,255,UPI app,0,21.0,263,25,-9.4,11.1,1,0,5.2,2,1,0
IN100040,Jio,West Bengal,Tier-2,30,Female,Prepaid,4G smartphone,2,293,365,281,Operator app,0,10.2,415,17,9.5,24.5,0,1,2.2,1,1,0
IN100041,Vi,Mumbai,Rural,18,Female,Prepaid,4G smartphone,78,240,56,46,Operator app,0,23.4,437,13,35.3,15.5,0,0,6.2,1,0,0
